Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
Taste Of Health,Facilities,$259,Health-focused food and catering vendor providing employee wellness meal options.,
Infodata,Engineering,$241,Data services and information technology solutions provider.,
Amazon (Aus),Engineering,$233,Australian Amazon marketplace/AWS for cloud infrastructure and office supply procurement.,
Regency Hampers Ltd,Marketing,$248,UK corporate gift hamper supplier providing branded gifts for clients and employees.,
Bella Operation A/S,Facilities,$241,Danish conference and event venue operator for corporate meetings and events.,
The Plant Man,Facilities,$235,Indoor plant supply and maintenance service for corporate office environments.,
Media Promo Plus D.O.O.,Marketing,$226,Croatian media and promotional advertising agency providing marketing campaign services.,
Expert-Ing D.O.O.,Engineering,$225,Croatian engineering consulting and technical services provider.,
Atlassian Pty Ltd,Engineering,$224,Project and issue tracking SaaS platform including Jira and Confluence for engineering teams.,
Djs For U,Facilities,$220,DJ and entertainment services provider for corporate events and team celebrations.,
Freepik Company,Marketing,$203,Online stock image and graphic design asset platform for marketing creative production.,
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar,G&A,$199,Croatian public health institute providing occupational health and medical services.,
Rishi Events And Entainment,Facilities,$198,Event planning and entertainment services provider for corporate functions and offsites.,
Kosmaz Technologies Croatia,Engineering,$195,Croatian software development and IT technology services provider.,
Dhl,Facilities,$191,Global parcel and express freight shipping and logistics service.,
Hotel Laguna D.D.,G&A,$190,Croatian hotel providing accommodations for business travel and events.,
Bigshare Services Private Limited,Finance,$188,Indian registrar and share transfer agency providing equity management services.,
Zettanet,Engineering,$183,IT networking and connectivity infrastructure services provider.,
Hahn Air,G&A,$183,Airline ticketing and interline travel distribution services provider.,
Vitality Works,G&A,$182,Employee health and wellness program services provider.,
Avoxi Inc,Support,$178,Cloud-based virtual phone number and call center telephony platform.,
Zapier Inc.,Engineering,$167,No-code workflow automation platform connecting cloud apps via triggers and actions.,
"Solarwinds, Inc",Engineering,$166,IT infrastructure monitoring and network management software platform.,
Xenon Savjetovanje D.O.O.,Professional Services,$164,Croatian business consulting and advisory services firm.,
Floom Ltd,G&A,$162,Online floral delivery marketplace for corporate gifting and events.,
Notino S.R.O.,G&A,$161,Online retailer of perfumes and beauty products for employee gifting.,
"Paint&Wine, Vl. Stevo Dosen",G&A,$159,Croatian paint-and-sip studio offering team-building entertainment events.,
Parcelforce Worldwide,Facilities,$155,UK parcel courier and express delivery logistics service.,
Advena,Professional Services,$154,Small-scale professional services engagement for project-specific business operations support.,
Hrvatski Nezavisnici Izvoznici Softvera,G&A,$154,Croatian independent software exporters industry association membership.,
Monile J.D.O.O.,Marketing,$152,Croatian marketing or promotional services agency.,
Puzzle Promotion J.D.O.O.,Marketing,$143,Croatian promotional marketing and event services agency.,
ZagrebaäKi Holding D.O.O.,Facilities,$143,Zagreb city-owned utility and infrastructure holding company,
Event Ors,Marketing,$143,Event planning and corporate event management services provider.,
Sportkart D.O.O.,G&A,$141,Croatian go-kart venue providing team-building and entertainment activities.,
"Interaction Design Foundation, Inc",Product,$138,Online UX and interaction design education and certification platform.,
(Blank),G&A,$137,Unidentified vendor with no name provided for classification.,
Escape Art D.O.O.,G&A,$133,Croatian escape room venue offering team-building entertainment experiences.,
Fero-Term,Facilities,$131,"Croatian supplier of heating, plumbing, or facilities maintenance materials.",
Ustanova Za Zdravstvenu Skrb P.P.,G&A,$131,Croatian occupational healthcare institution providing employee medical services.,
Vistaprint,Marketing,$130,Online print-on-demand platform for branded marketing materials and merchandise.,
Teb Poslovno Savjetovanje D.O.O.,Finance,$129,Croatian financial and business advisory consulting services firm.,
Illunis D.O.O.,Marketing,$128,Croatian creative or digital marketing agency providing design services.,
The Cook Kitchen,G&A,$123,Catering or food service provider for office meals and events.,
Australian Taxation Office (Ato),Finance,$123,Australian government tax authority collecting statutory tax obligations.,
Capitol Services,Legal,$120,US registered agent and corporate compliance filing services provider.,
Bonus Opinio D.O.O.,Marketing,$120,Croatian market research and customer opinion survey services firm.,
Dhl Express (Uk) Ltd,Facilities,$119,UK express international parcel and freight shipping logistics service.,
Kat'S Kitchen D.O.O.,G&A,$119,Croatian catering service providing office food and meal services.,
Soho Kitchen Ltd,G&A,$104,UK catering or food service provider for office and corporate events.,
Fortis Trade J.D.O.O.,Facilities,$95,Croatian trade and supply company providing office or facilities goods.,
Till Trade D.O.O.,Facilities,$93,Croatian supplier of office or facilities equipment and materials.,
Pret A Manger,G&A,$92,UK quick-service sandwich and coffee chain for employee meals and catering.,
Axil Coffee Roasters,G&A,$89,Specialty coffee roaster supplying office coffee and beverages.,
Pepco Croatia D.O.O.,Facilities,$89,Croatian discount retail chain supplying low-cost office and facilities goods.,
Lemia D.O.O.,Facilities,$88,Croatian supplier of facilities or office maintenance goods and services.,
Retriever Llc,Marketing,$88,Media monitoring and press clipping intelligence services provider.,
Meluba Limited,Professional Services,$88,Business consulting or professional services firm supporting operations.,
London Waste Management,Facilities,$86,UK commercial waste collection and disposal management services provider.,
Hilton Garden Inn - Zagreb City Hotels D.O.O.,G&A,$82,Zagreb Hilton hotel providing accommodations for business travel and events.,
Lider Media D.O.O.,Marketing,$80,Croatian business media publisher for corporate advertising and press coverage.,
Uptime Robot Service Provider Ltd,Engineering,$78,Website and server uptime monitoring SaaS platform with alerting capabilities.,
Mithras Consultants,Professional Services,$77,Specialist consulting firm providing advisory or technical project services.,
6Sense Insights Inc,Marketing,$76,AI-driven B2B account engagement and revenue intelligence marketing platform.,
Ico,Legal,$67,UK Information Commissioner's Office data protection registration and compliance fee.,
Sportska Udruga Split,G&A,$66,Croatian sports association providing employee wellness or team-building activities.,
Prezzee,G&A,$64,Digital gift card platform used for employee rewards and corporate gifting.,
Inet Telecoms Ltd.,Engineering,$63,UK telecom provider supplying internet connectivity and networking services.,
Wolt Enterprises Oy,G&A,$62,European food delivery platform used for employee meal ordering and catering.,
Platinum Office D.O.O.,Facilities,$62,Croatian office supplies and stationery procurement services provider.,
Snappy Snaps,Marketing,$59,UK photo printing and imaging services for marketing and promotional materials.,
New Block D.O.O.,Engineering,$56,Croatian IT or software development services company.,
Cayman Islands Government,Legal,$56,Cayman Islands government statutory fees for corporate registration and compliance.,
Officeworks,Facilities,$56,Australian office supplies and stationery retailer for workplace procurement needs.,
Click Send Pty Ltd,Marketing,$55,"Australian cloud-based SMS, email, and direct mail messaging platform for business communications.",
Kall Kwik Centre 565,Facilities,$55,UK print and copy centre providing business printing and document services.,
Shilton Hospitality Llp,G&A,$55,UK hospitality venue providing corporate dining or event hosting services.,
Axosoft Gitkraken,Engineering,$54,Git GUI client and repository management tool for software development teams.,
Istra Wine,G&A,$53,Croatian wine retailer likely used for corporate entertainment or team events.,
Gophr,Facilities,$52,UK same-day courier and on-demand delivery service for business parcels.,
Pan-Pek D.O.O.,Facilities,$50,Croatian bakery chain likely used for office catering or team food purchases.,
Uber *Eats,Facilities,$50,On-demand food delivery platform used for employee meals or office catering.,
Fedex Express Uk Transportation Ltd,Facilities,$47,UK express courier and freight shipping service for business document and parcel delivery.,
Garden City D.O.O.,Facilities,$45,Croatian retail or food vendor likely used for office supplies or catering.,
Livingstone,Facilities,$41,"Australian medical, laboratory, or office supply distributor for workplace procurement.",
Ekupi D.O.O.,Facilities,$40,Croatian e-commerce retailer used for office equipment or miscellaneous supply purchases.,
Farmacia - Specijalizirana Prodavaonica D.O.O.,Facilities,$36,Croatian specialised pharmacy retailer for employee health or first-aid supply purchases.,
Cupcake Central (Life Is Sweet Bakery),Facilities,$35,Australian bakery providing cupcakes and baked goods for office events or team catering.,
Post Office Ltd,Facilities,$32,"UK postal service used for business mail, parcels, and document delivery.",
Currys Pc World,Engineering,$30,UK consumer electronics and computing retailer for hardware and tech equipment purchases.,
Brodomerkur D.D.,Facilities,$29,Croatian nautical and general retail store for miscellaneous office or facilities purchases.,
Sport Vision D.O.O.,G&A,$26,Croatian sports apparel and equipment retailer likely used for team or employee purchases.,
Harissa D.O.O.,Facilities,$21,Croatian food or catering vendor likely used for office meals or team events.,
Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,G&A,$20,Croatian occupational and sports medicine clinic providing mandatory employee health assessments.,
Specijalisticka Ordinacija Medicine Rada Helena Blazic,G&A,$20,Croatian occupational medicine clinic providing mandatory workplace health screenings for employees.,
Ustanova Za Medicinu Rada I Sporta Dr. Novacki,G&A,$20,Croatian occupational and sports medicine institution providing employee health and fitness assessments.,
M&S Simply Food,Facilities,$19,"UK food retailer used for office catering, employee meals, or team event refreshments.",
Bakemono Bakers Melbourne,Facilities,$18,Australian artisan bakery providing baked goods for office events or team catering in Melbourne.,
Coles,Facilities,$18,"Australian supermarket chain used for office grocery, catering, and general supply purchases.",
