Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs),Recommendation Rationale
City Pantry Ltd,Facilities,"$2,419",Corporate office food delivery and catering platform operating in London.,Consolidate,Sub-$5K London catering platform; overlaps with other catering/facilities food vendors — consolidate.
Stipe Piric,Facilities,"$2,302",Individual contractor providing facilities or maintenance services in Croatia.,Terminate,Sub-$5K individual facilities contractor in Croatia; likely one-time or low-impact engagement.
Office Move London,Facilities,"$2,293",Commercial office relocation and moving services provider in London.,Terminate,Sub-$5K office relocation service; likely a one-time project engagement with no ongoing value.
Pink Ribbon Shop,Marketing,"$2,251",Branded merchandise supplier supporting corporate charity and awareness campaigns.,Consolidate,Sub-$5K branded merchandise supplier; overlaps with 4Imprint — consolidate to one merch vendor.
Starhub Ltd (Supplier),G&A,"$2,205",Singapore telecommunications carrier providing mobile and broadband business services.,Optimize,Singapore telecom provider for business connectivity; strategically needed for local operations — optimize plan.
N S Shastri And Co,Finance,"$2,194","Indian chartered accountancy firm providing tax, audit, and compliance services.",Optimize,Indian chartered accountancy firm for tax/audit compliance; legally necessary — optimize scope and fees.
John Smith,Professional Services,"$2,163",Individual contractor providing professional consulting or advisory services.,Terminate,Sub-$5K individual consultant; likely a completed one-time engagement with no ongoing need.
Fabiola Thistlewhaite,Professional Services,"$2,154",Independent individual contractor engaged for specialist project-based professional services delivery.,Terminate,Sub-$5K individual contractor; likely a completed project-based engagement with no ongoing value.
Hp Inc Uk Limited,Engineering,"$2,136","Hardware vendor supplying laptops, printers, and IT equipment in the United Kingdom.",Consolidate,Sub-$5K UK hardware spend; consolidate device procurement with primary IT hardware vendor globally.
Cision Pr Newswire,Marketing,"$2,110",Press release distribution and PR media outreach platform for earned media campaigns.,Terminate,Sub-$5K PR distribution spend; low volume suggests minimal use — evaluate if still actively needed.
George Anchor,Professional Services,"$2,107",Individual contractor providing professional consulting or specialist advisory services.,Terminate,Sub-$5K individual consultant; likely a completed one-time engagement with no ongoing need.
"Yoxel, Inc",Engineering,"$2,044",Google Workspace and CRM data sync integration tool for enterprise productivity workflows.,Terminate,Sub-$5K niche sync tool; likely replaceable by native CRM/Google Workspace integrations.
Grt Hotels And Resorts P Ltd,G&A,"$2,032",Indian hotel chain providing accommodation for business travel and corporate events.,Consolidate,Sub-$5K Indian hotel spend; overlaps with Radisson GRT — consolidate corporate travel to one chain.
Apple Pty Ltd,Engineering,"$2,031",Apple hardware devices and software purchased via Australian corporate channel.,Consolidate,Sub-$5K Apple hardware via Australia; consolidate with Apple Distribution International for volume pricing.
Slack Technologies Limited,Engineering,"$1,989",Cloud-based team messaging and collaboration SaaS platform for internal communications.,Optimize,Core team collaboration platform; low spend suggests partial use — optimize seats or consolidate licensing.
G S Notary Public Limited,Legal,"$1,935",Notary public services provider for document authentication and legal certification.,Optimize,Legal notary services needed for document authentication; low spend — optimize as-needed usage.
Apple Distribution International Ltd,Engineering,"$1,913",Apple hardware and software distribution for corporate device procurement internationally.,Consolidate,Sub-$5K Apple hardware internationally; consolidate with Apple Pty Ltd into single procurement channel.
Porezno Savjetniå¡Tvo Tuk D.O.O.,Finance,"$1,813",Croatian tax advisory and financial consulting firm for local regulatory compliance.,Optimize,Croatian tax advisory for local regulatory compliance; legally necessary — optimize engagement scope.
Susan Lee,Professional Services,"$1,762",Individual contractor providing professional consulting or specialist advisory services.,Terminate,Sub-$5K individual consultant; likely a completed one-time engagement with no ongoing need.
Ansar Madovic,Professional Services,"$1,732",Individual contractor providing professional consulting or specialist advisory services.,Terminate,Sub-$5K individual consultant; likely a completed one-time engagement with no ongoing need.
"Radius Group, Inc",Facilities,"$1,723",Corporate real estate advisory and workplace strategy services provider in the US.,Terminate,Sub-$5K real estate advisory; likely a one-time workplace strategy engagement — no ongoing need.
Aquila Remete D.O.O.,Facilities,"$1,706",Facilities management or property services provider operating in Croatia.,Terminate,Sub-$5K Croatian facilities vendor; minimal spend suggests low-impact or one-time service.
Clime India Private Limited,G&A,"$1,678",Employee expense management and corporate spend platform operating in India.,Terminate,Sub-$5K expense management tool; likely redundant with primary corporate expense/spend platform.
"Golden Mean, Inc",Professional Services,"$1,659",Consulting and advisory services firm providing strategic or operational support.,Terminate,Sub-$5K consulting firm; likely a completed one-time advisory engagement with no ongoing value.
Paint & Fun Vl. Martina Milkova Nikolova,Facilities,"$1,654",Team-building and recreational art activity vendor for employee engagement events.,Terminate,Sub-$5K team-building art activity vendor; one-time event spend with no strategic value.
Carrington Communications,Marketing,"$1,654",PR and communications agency providing media relations and messaging services.,Terminate,Sub-$5K PR agency; minimal spend suggests limited engagement — consolidate with primary PR vendor.
Crayond Digital Private Limited,Engineering,"$1,646",India-based digital product design and software development agency.,Terminate,Sub-$5K dev agency; minimal spend suggests completed project — no ongoing strategic need.
Studentski Centar Karlovac,Facilities,"$1,549",Croatian student center providing canteen and accommodation facilities for staff or events.,Terminate,Sub-$5K Croatian student center; minimal spend with no clear ongoing strategic value.
Lajnap Comedy Booking D.O.O.,Facilities,"$1,536",Croatian entertainment booking agency arranging comedy and live event performances.,Terminate,Sub-$5K entertainment booking; one-time event expense with no ongoing business need.
British Telecommunications,Engineering,"$1,493","UK telecom provider supplying fixed-line, broadband, and network connectivity services.",Optimize,UK telecom/network connectivity provider; critical infrastructure for UK office — optimize plan and rates.
Etm Concessions Ltd,Facilities,"$1,419",Facilities concessions vendor providing on-site catering or vending machine services.,Terminate,Sub-$5K vending/catering concessions; minimal spend with no strategic value — handle internally.
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,G&A,"$1,406",Radisson hotel property in India providing accommodation for business travel and events.,Consolidate,Sub-$5K Indian hotel spend; overlaps with GRT Hotels — consolidate corporate travel bookings.
Ariba Inc,Finance,"$1,363",SAP Ariba procurement and spend management SaaS platform for purchase-to-pay workflows.,Optimize,SAP Ariba procurement platform; strategically relevant for P2P workflows — optimize tier and licensing.
Chamiers Recreation Club,Facilities,"$1,338",India-based recreation club providing employee wellness and leisure facility access.,Terminate,Sub-$5K recreation club membership in India; low strategic value — can be discontinued.
Quadrant Law Llc,Legal,"$1,327",Law firm providing corporate legal advisory and transactional support services.,Optimize,Legal advisory firm; compliance and legal vendors are rarely terminable — optimize engagement scope.
Docusign,G&A,"$1,308",Cloud-based e-signature and digital agreement management SaaS platform.,Optimize,Core e-signature platform; strategically necessary — optimize license count and plan tier.
Inside Edge Novated Leasing,G&A,"$1,287",Australian novated vehicle leasing provider managing employee car lease salary packaging.,Optimize,Australian employee benefit (vehicle leasing); HR/benefits vendor — optimize terms if headcount warrants.
Rhea D.O.O.,Facilities,"$1,253","Croatian vendor providing office supplies, catering, or facilities support services.",Terminate,Sub-$5K Croatian office supplies/facilities vendor; minimal spend with no strategic importance.
P S Recreation Club,Facilities,"$1,219",India-based recreation club providing employee wellness and leisure facility memberships.,Terminate,Sub-$5K recreation club in India; overlaps with Chamiers — terminate both low-value memberships.
Fastspring,SaaS,"$1,179",E-commerce and subscription billing platform for SaaS software sales and payment processing.,Terminate,Sub-$5K billing platform; minimal spend suggests negligible usage — consolidate with primary billing.
Dsv Solutions A/S,Facilities,"$1,162",Global logistics and freight forwarding provider for supply chain and shipping services.,Terminate,Sub-$5K logistics/freight vendor; minimal spend suggests infrequent use — handle via primary provider.
Curzon Green Solicitors,Legal,"$1,158","UK law firm providing employment, corporate, or commercial legal advisory services.",Optimize,UK law firm for legal advisory; legal vendors rarely terminable — optimize engagement as needed.
Icare Nsw,G&A,"$1,150",New South Wales government workers compensation and insurance scheme provider.,Optimize,NSW government workers compensation scheme; legally mandatory insurance — optimize as required.
Thomas Mansfield Solicitors Limited,Legal,"$1,135",UK law firm specializing in employment law and workplace legal dispute resolution.,Terminate,Sub-$5K legal spend; likely one-off employment law engagement with no ongoing strategic need.
Amazon.Co.Uk,Facilities,"$1,107","UK Amazon marketplace for purchasing office supplies, hardware, and operational equipment.",Terminate,Sub-$5K spend on office supplies; can be consolidated into a primary procurement channel.
Backoffice Associates,Professional Services,"$1,080",Data migration and SAP data management consulting services provider.,Terminate,Sub-$5K spend on data migration consulting; likely a completed one-time engagement.
Oladi D.O.O.,Facilities,"$1,064","Croatian vendor providing catering, office supplies, or facilities support services.",Terminate,Sub-$5K Croatian facilities vendor; redundant with multiple similar local suppliers on this list.
Integrated Personnel Services,G&A,"$1,054",Staffing and temporary personnel placement agency providing workforce solutions.,Terminate,Sub-$5K staffing agency spend; negligible volume suggests no ongoing strategic need.
Mãœller Trgovina Zagreb D.O.O.,Facilities,"$1,051","Croatian retail chain supplying office, hygiene, and general-purpose workplace consumables.",Terminate,Sub-$5K retail supplies spend; consolidate purchases through a primary office supplies vendor.
Lunch Nutrition D.O.O.,Facilities,"$1,012",Croatian catering company providing employee lunch and nutrition meal services.,Consolidate,One of multiple Croatian catering vendors; consolidate into a single catering provider.
Winmaxi Tours & Travels,G&A,"$1,001",India-based travel agency managing employee business travel bookings and arrangements.,Terminate,Sub-$5K India travel agency; should be consolidated into primary corporate travel platform.
Digitalna Produkcija J.D.O.O.,Marketing,$993,Croatian digital production agency providing content creation and online media services.,Terminate,Sub-$5K Croatian digital production agency; minimal spend suggests one-off project.
Computershare-Caboodle Technology Limited,Finance,$981,Employee share plan administration and equity management technology platform.,Optimize,Equity/share plan administration is compliance-critical; review contract terms for cost efficiency.
Allianz Wa,G&A,$971,Allianz insurance provider in Western Australia supplying corporate insurance coverage.,Optimize,Insurance vendor is compliance-necessary; optimize by reviewing coverage and premium rates.
Trending Technology Services Gmbh,Engineering,$961,German-based IT services firm providing engineering infrastructure support and software solutions at low annual spend.,Terminate,Sub-$5K IT services spend; negligible engagement with no clear ongoing strategic value.
"Godaddy.Com, Llc",Engineering,$923,Domain registration and web hosting platform for managing company web properties.,Optimize,Domain registration is critical infrastructure; review domain portfolio and ensure competitive pricing.
Time Out Group,Marketing,$920,Global media and entertainment brand providing advertising and sponsorship opportunities.,Terminate,Sub-$5K advertising spend with a lifestyle media brand; low strategic marketing value.
Raiffeisenbank Austria D.D.,Finance,$920,Austrian banking group providing corporate banking and financial transaction services in Croatia.,Optimize,Corporate banking for Croatian operations is necessary; review fees and transaction costs.
Galop-Prijevoz D.O.O.,Facilities,$908,Croatian transportation and shuttle service provider for employee or logistics transport.,Terminate,Sub-$5K Croatian transport vendor; minimal spend suggests ad-hoc usage with no ongoing need.
Lane Ip Limited,Legal,$851,"UK intellectual property law firm managing patent, trademark, and IP portfolio services.",Optimize,IP law firm protecting patents/trademarks is strategically important; review engagement scope.
Urbani Eventi D.O.O.,Facilities,$851,Croatian event management company organizing corporate events and team activities.,Terminate,Sub-$5K Croatian event management spend; one-off corporate event with no recurring need.
Smashing Media Ag,Marketing,$850,Publisher of Smashing Magazine providing developer-focused advertising and sponsorship placements.,Terminate,Sub-$5K developer-focused advertising; minimal spend with unclear marketing ROI.
Epignosis Llc,G&A,$833,Learning management system (TalentLMS) provider for employee training and e-learning delivery.,Optimize,LMS platform supports employee training; verify it's the primary LMS or consolidate if redundant.
Croatia Airlines,G&A,$832,Croatian national airline providing domestic and international business travel flights.,Terminate,Sub-$5K airline spend; should be managed through primary corporate travel booking platform.
Bb Football Scouting J.D.O.O.,Facilities,$823,Croatian sports and employee engagement vendor providing football-related recreational activities.,Terminate,Sub-$5K recreational sports vendor; non-essential employee perk with negligible spend.
Boe Croatia D.O.O.,Facilities,$814,"Croatian vendor providing office equipment, supplies, or facilities management services.",Terminate,Sub-$5K Croatian office equipment vendor; redundant with other local facilities suppliers.
Potomac D.O.O.,Facilities,$806,Croatian facilities or office services vendor supplying operational support goods.,Terminate,Sub-$5K Croatian facilities vendor; vague purpose and negligible spend warrant termination.
"President Hotel And Tower Co., Ltd",G&A,$803,Hotel property providing accommodation and meeting venue services for business travel.,Terminate,Sub-$5K hotel spend; should be booked via primary corporate travel management platform.
Friends Sports Club,Facilities,$797,Sports club providing employee recreational and wellness activity memberships.,Terminate,Sub-$5K sports club membership; non-essential employee perk with minimal strategic value.
The Cycle Gap Adyar,Facilities,$765,India-based bicycle retailer supplying cycles for employee commute or wellness programs.,Terminate,Sub-$5K bicycle retailer; one-off or negligible wellness program spend with no ongoing need.
Apple - Amer,Engineering,$764,Apple Americas providing hardware devices such as MacBooks and iPhones for engineering staff.,Terminate,Sub-$5K Apple hardware spend; should be routed through primary IT procurement channel.
Klg - Kalra Legal Group,Legal,$681,India-based law firm providing corporate and commercial legal advisory services.,Consolidate,One of multiple India-based law firms; consolidate Indian legal work under a single firm.
Kilgannon & Partners Llp,Legal,$681,"UK law firm providing corporate, employment, or commercial legal advisory services.",Consolidate,One of multiple UK law firms; consolidate UK legal advisory under fewer firms.
Uk Postbox Limited,G&A,$670,UK virtual mailbox service providing registered address and mail handling for remote operations.,Terminate,Sub-$5K virtual mailbox; evaluate if still needed or can be handled by existing UK office.
Catering Iviä‡ D.O.O.,Facilities,$669,Croatian catering company providing employee meal and food service solutions.,Consolidate,One of multiple Croatian catering vendors; consolidate into a single catering provider.
Blink Events,Marketing,$664,Event production agency organizing corporate marketing events and brand experiences.,Terminate,Sub-$5K event production spend; likely a one-off engagement with no recurring need.
Grafo-Jan,Marketing,$662,Croatian graphic design and print services vendor for marketing collateral production.,Terminate,Sub-$5K print/design vendor; minimal spend suggests ad-hoc project with no ongoing need.
Mesa Verde,Facilities,$662,"Vendor providing office catering, hospitality, or facilities support services.",Consolidate,One of multiple Croatian catering/hospitality vendors; consolidate into single provider.
Pixsy Inc,Legal,$613,Image copyright monitoring and infringement enforcement platform for protecting visual content.,Optimize,Image copyright enforcement protects company IP; review if usage justifies continued subscription.
Dun & Bradstreet D.O.O.,Sales,$610,Business intelligence and commercial data provider for sales prospecting and credit risk assessment.,Terminate,Sub-$5K D&B spend; verify if duplicative with enterprise-level D&B contract elsewhere.
Induslaw,Legal,$596,"India-based full-service law firm providing corporate, M&A, and commercial legal services.",Consolidate,Second India-based law firm; consolidate Indian legal services under one preferred firm.
Trans-Agram Obrt Za Dostavu,Facilities,$581,Croatian delivery and courier service provider for office logistics and mail distribution.,Terminate,Sub-$5K Croatian courier service; negligible spend with no strategic ongoing need.
Landu Law Solicitors,Legal,$568,"UK law firm providing immigration, employment, or commercial legal advisory services.",Consolidate,One of multiple UK law firms; consolidate UK legal work to reduce vendor count.
Arena Center Zagreb D.O.O.,Facilities,$567,Zagreb venue/conference center used for corporate events and meetings.,Terminate,Sub-$5K venue spend; likely one-off event booking with no recurring need.
Obrt Za Ugostiteljstvo Mirakul,Facilities,$565,Croatian catering and hospitality service provider for corporate dining.,Consolidate,One of multiple Croatian catering vendors; consolidate into a single catering provider.
Oakberry Jr D.O.O.,Facilities,$535,Croatian food and beverage vendor used for employee or event catering.,Consolidate,One of multiple Croatian food/catering vendors; consolidate into single provider.
Tau On-Line D.O.O.,Engineering,$534,Croatian online technology services provider supporting IT or software operations.,Terminate,Sub-$5K Croatian IT vendor; negligible spend with unclear ongoing engineering value.
Magic Mountain Saloon,Facilities,$524,Bar/restaurant venue used for corporate team events or offsites.,Terminate,Sub-$5K bar/restaurant venue; one-off team event with no recurring operational need.
Hotel Zonar,Facilities,$523,Hotel accommodation provider used for employee or client business travel.,Terminate,Sub-$5K hotel spend; should be managed through primary corporate travel platform.
Roto Dinamic D.O.O.,Facilities,$512,Croatian facilities or mechanical services vendor supporting office operations.,Terminate,Sub-$5K Croatian facilities vendor; negligible spend with unclear ongoing value.
Tm Forum,Engineering,$510,"Telecom industry association providing standards, research, and membership services.",Optimize,Industry standards body membership may support product strategy; verify engineering team usage.
Marvie Hotel - Krupa D.O.O.,Facilities,$502,Croatian hotel accommodation provider for employee business travel and events.,Terminate,Sub-$5K hotel spend; should be booked via primary corporate travel management platform.
Merchandise Ltd,Marketing,$490,Branded merchandise supplier providing promotional goods and company swag.,Terminate,Sub-$5K branded swag supplier; minimal spend suggests ad-hoc order with no ongoing need.
Yellow Submarine D.O.O.,Facilities,$486,Croatian food and beverage venue used for corporate catering or team events.,Terminate,Sub-$500/yr catering venue with no strategic value; easily replaced or handled internally.
Streamlinereforms Inc,G&A,$483,Business process and operational reform consulting services provider.,Terminate,Sub-$500/yr consulting engagement; likely one-time or legacy with no ongoing strategic need.
Make And Grow Ltd,Marketing,$483,Marketing and growth services agency supporting digital or content campaigns.,Terminate,Sub-$500/yr marketing agency; negligible spend with no clear strategic impact at this scale.
Obiteljski Hoteli D.O.O.,Facilities,$474,Croatian family hotel group providing accommodation for employee business travel.,Terminate,"Sub-$500/yr hotel spend; minimal use, should be consolidated under a corporate travel program."
Rudan D.O.O.,Facilities,$473,Croatian services vendor providing facilities or operational support.,Terminate,Sub-$500/yr Croatian facilities vendor with vague scope and no strategic value.
Entrio Tehnologije D.O.O.,Engineering,$473,Croatian ticketing and event technology platform provider.,Terminate,"Sub-$500/yr event ticketing platform; negligible spend, not core engineering infrastructure."
Vivat Fina Vina D.O.O.,Facilities,$467,Croatian fine wine supplier used for corporate gifting or event hospitality.,Terminate,Sub-$500/yr wine supplier for gifting/events; non-essential discretionary spend.
"Figma, Inc.",Product,$460,Cloud-based collaborative UI/UX design tool for product and design teams.,Optimize,Critical UI/UX design tool for Product teams; low spend suggests undercount—verify seats and licensing.
E-Disti D.O.O.,Engineering,$458,Croatian e-distribution or digital services technology provider.,Terminate,Sub-$500/yr Croatian digital services vendor with unclear purpose; no strategic engineering value.
Greencell Express Private Limited,Facilities,$457,Indian ground transportation and express logistics service for employee travel.,Terminate,"Sub-$500/yr ground transport vendor; minimal use, consolidate under corporate travel program."
Edwardian Pastoria Hotels Ltd (The Londoner),Facilities,$433,London luxury hotel providing accommodation for employee or client business travel.,Terminate,"Sub-$500/yr hotel spend; negligible use, should route through corporate travel platform."
Tiganda J.D.O.O.,Facilities,$432,Croatian small business vendor providing local operational or catering support.,Terminate,Sub-$500/yr Croatian local vendor with no strategic value; easily eliminated.
"Franklin, Gringer & Cohen, P.C.",Legal,$427,U.S. law firm providing employment and corporate legal counsel services.,Optimize,Legal counsel vendor; low spend may indicate dormant engagement—verify need and retain if active.
Blitz - Cinestar D.O.O.,Facilities,$426,Croatian cinema and entertainment venue used for corporate team events.,Terminate,Sub-$500/yr entertainment venue for team events; non-essential discretionary spend.
Lancefield Bus Service,Facilities,$412,Ground transportation/bus service provider for employee shuttle or event transport.,Terminate,Sub-$500/yr bus service; minimal use with no ongoing strategic need.
Super Odrediå¡Te D.O.O.,Facilities,$378,Croatian destination or event venue provider for corporate offsites.,Terminate,Sub-$400/yr Croatian event venue; negligible spend with no strategic value.
Pmi Global Operations Center,G&A,$378,Project Management Institute providing PMI certifications and training programs.,Terminate,Sub-$400/yr PMI training spend; likely one-time certification cost with no ongoing need.
Student Packers & Movers,Facilities,$371,Moving and relocation services provider supporting employee or office relocations.,Terminate,Sub-$400/yr moving service; likely one-time engagement with no ongoing value.
Del Posto D.O.O.,Facilities,$364,Croatian restaurant or catering venue used for corporate dining and events.,Terminate,Sub-$400/yr Croatian restaurant venue; non-essential discretionary dining spend.
Inicijativa Centar Za Edukaciju,G&A,$358,Croatian education and training center providing professional development courses.,Terminate,"Sub-$400/yr training center; negligible spend, consolidate under primary L&D platform."
Niva Transport J.D.O.O.,Facilities,$358,Croatian ground transportation company providing employee or logistics transport.,Terminate,"Sub-$400/yr Croatian transport vendor; minimal use, no strategic value."
Doctor Anywhere Operations Pte Ltd,G&A,$347,Singapore-based telehealth platform providing employee virtual healthcare benefits.,Optimize,Telehealth employee benefit; low spend but compliance/benefits-related—verify utilization and need.
Spar Hrvatska D.O.O.,Facilities,$341,Croatian SPAR grocery retail chain used for office supplies and employee provisions.,Terminate,"Sub-$400/yr grocery purchases; negligible office supply spend, handle via petty cash."
Pepe'S Italian And Liquor,Facilities,$339,Restaurant and bar venue used for corporate team dining or entertainment.,Terminate,Sub-$400/yr restaurant venue; non-essential discretionary dining spend.
"Pluralsight, Llc",Engineering,$318,Online technology skills learning platform providing developer training and courses.,Terminate,Sub-$500/yr learning platform; likely minimal seats—consolidate under primary L&D tool.
Maniax Melbourne Cbd,Facilities,$315,Melbourne axe-throwing entertainment venue used for corporate team-building events.,Terminate,Sub-$500/yr team-building entertainment venue; non-essential discretionary spend.
Dnsimple,Engineering,$312,Cloud-based DNS management and domain registration platform for engineering teams.,Optimize,DNS management is core infra; low spend but verify if duplicative with primary DNS/domain provider.
Treci Posao D.O.O.,G&A,$307,Croatian recruitment or staffing services provider for talent acquisition.,Terminate,"Sub-$500/yr Croatian staffing vendor; negligible spend, consolidate under primary recruiting tools."
Gaucho Restaurants,Facilities,$302,Upscale Argentinian steakhouse chain used for corporate client dining and events.,Terminate,Sub-$500/yr restaurant venue; non-essential discretionary client dining spend.
Formswift,G&A,$301,Online document creation and e-signature platform for business form management.,Terminate,Sub-$500/yr doc/e-sign tool; redundant if company uses DocuSign or similar enterprise platform.
Safestore Ltd,Facilities,$287,UK self-storage facility provider used for corporate document or equipment storage.,Terminate,"Sub-$300/yr self-storage; negligible spend, verify if still needed or clear out contents."
Split Tech City,Engineering,$284,Croatian tech community organization supporting engineering talent and networking in Split.,Terminate,Sub-$300/yr community org; negligible spend with no critical engineering dependency.
National Securities Depository Limited(Nsdl),Finance,$281,Indian securities depository providing electronic holding and settlement of securities.,Optimize,Indian securities depository; compliance/regulatory requirement—retain and verify necessity.
Adamma Info Services Private Limited,G&A,$273,Indian information and administrative support services provider.,Terminate,Sub-$300/yr admin services vendor; negligible spend with no clear strategic value.
The Riding House Cafe,Facilities,$265,London restaurant and cafe venue used for corporate team dining or client entertainment.,Terminate,Sub-$300/yr restaurant venue; non-essential discretionary dining spend.
Stillmark Zagreb D.O.O.,Marketing,$263,Croatian PR and communications agency providing media and brand communications services.,Terminate,Sub-$300/yr Croatian PR agency; negligible spend with no meaningful marketing impact.
Lastpass Ireland Limited,Engineering,$263,Cloud-based enterprise password management and security vault platform.,Consolidate,Password manager; verify overlap with primary enterprise identity/password tool and consolidate.
Taste Of Health,Facilities,$259,Health-focused food and catering vendor providing employee wellness meal options.,Terminate,Sub-$300/yr wellness catering vendor; non-essential discretionary spend.
Infodata,Engineering,$241,Data services and information technology solutions provider.,Terminate,Sub-$300/yr data services vendor with vague scope; no clear strategic engineering value.
Amazon (Aus),Engineering,$233,Australian Amazon marketplace/AWS for cloud infrastructure and office supply procurement.,Optimize,Likely AWS or procurement; low spend but verify if part of broader Amazon/AWS relationship.
Regency Hampers Ltd,Marketing,$248,UK corporate gift hamper supplier providing branded gifts for clients and employees.,Terminate,Sub-$300/yr gift hamper supplier; non-essential discretionary marketing spend.
Bella Operation A/S,Facilities,$241,Danish conference and event venue operator for corporate meetings and events.,Terminate,Sub-$300/yr Danish event venue; negligible one-time spend with no ongoing need.
The Plant Man,Facilities,$235,Indoor plant supply and maintenance service for corporate office environments.,Terminate,Sub-$300/yr office plant service; non-essential discretionary facilities spend.
Media Promo Plus D.O.O.,Marketing,$226,Croatian media and promotional advertising agency providing marketing campaign services.,Terminate,Sub-$300/yr Croatian ad agency; negligible spend with no meaningful marketing impact.
Expert-Ing D.O.O.,Engineering,$225,Croatian engineering consulting and technical services provider.,Terminate,Sub-$300/yr Croatian engineering consulting; likely one-time engagement with no ongoing value.
Atlassian Pty Ltd,Engineering,$224,Project and issue tracking SaaS platform including Jira and Confluence for engineering teams.,Optimize,Critical Jira/Confluence platform for engineering; unusually low spend—verify full contract scope.
Djs For U,Facilities,$220,DJ and entertainment services provider for corporate events and team celebrations.,Terminate,Sub-$300/yr DJ entertainment vendor; non-essential discretionary event spend.
Freepik Company,Marketing,$203,Online stock image and graphic design asset platform for marketing creative production.,Terminate,Sub-$300/yr stock image platform; consolidate under primary creative asset subscription.
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar,G&A,$199,Croatian public health institute providing occupational health and medical services.,Optimize,Occupational health institute; likely compliance-required for Croatian employees—retain and verify.
Rishi Events And Entainment,Facilities,$198,Event planning and entertainment services provider for corporate functions and offsites.,Terminate,Sub-$200/yr event vendor; non-essential discretionary spend with no strategic value.
Kosmaz Technologies Croatia,Engineering,$195,Croatian software development and IT technology services provider.,Terminate,Negligible $195/yr spend on IT services with no clear strategic value for a $1B company.
Dhl,Facilities,$191,Global parcel and express freight shipping and logistics service.,Consolidate,Duplicate shipping vendor alongside DHL Express (UK) and Parcelforce; consolidate to one logistics provider.
Hotel Laguna D.D.,G&A,$190,Croatian hotel providing accommodations for business travel and events.,Terminate,Minimal $190/yr hotel spend; one-time or negligible travel expense with no ongoing strategic value.
Bigshare Services Private Limited,Finance,$188,Indian registrar and share transfer agency providing equity management services.,Optimize,Registrar/share transfer agent is a compliance necessity; optimize but retain for equity management.
Zettanet,Engineering,$183,IT networking and connectivity infrastructure services provider.,Terminate,Negligible $183/yr spend on networking services; likely legacy or one-time engagement.
Hahn Air,G&A,$183,Airline ticketing and interline travel distribution services provider.,Terminate,Minimal $183/yr airline ticketing spend; should be handled through primary travel management platform.
Vitality Works,G&A,$182,Employee health and wellness program services provider.,Terminate,"At $182/yr, wellness program spend is too low to deliver meaningful value; terminate or absorb into HR."
Avoxi Inc,Support,$178,Cloud-based virtual phone number and call center telephony platform.,Terminate,Negligible $178/yr spend on cloud telephony; likely redundant with primary contact center platform.
Zapier Inc.,Engineering,$167,No-code workflow automation platform connecting cloud apps via triggers and actions.,Terminate,At $167/yr this is a trivial free-tier-level usage; consolidate automation into core engineering tools.
"Solarwinds, Inc",Engineering,$166,IT infrastructure monitoring and network management software platform.,Terminate,"At $166/yr, likely unused or redundant with primary monitoring tools; negligible spend, no strategic value."
Xenon Savjetovanje D.O.O.,Professional Services,$164,Croatian business consulting and advisory services firm.,Terminate,Minimal $164/yr consulting engagement; likely a completed one-time project with no ongoing need.
Floom Ltd,G&A,$162,Online floral delivery marketplace for corporate gifting and events.,Terminate,Trivial $162/yr floral delivery spend; can be handled ad-hoc without a vendor relationship.
Notino S.R.O.,G&A,$161,Online retailer of perfumes and beauty products for employee gifting.,Terminate,"Negligible $161/yr on beauty product gifting; not a strategic vendor, handle ad-hoc."
"Paint&Wine, Vl. Stevo Dosen",G&A,$159,Croatian paint-and-sip studio offering team-building entertainment events.,Terminate,Trivial $159/yr team-building event spend; book ad-hoc without maintaining a vendor record.
Parcelforce Worldwide,Facilities,$155,UK parcel courier and express delivery logistics service.,Consolidate,Duplicate UK parcel service alongside DHL Express UK; consolidate to single shipping provider.
Advena,Professional Services,$154,Small-scale professional services engagement for project-specific business operations support.,Terminate,Minimal $154/yr professional services spend; likely a completed one-time project engagement.
Hrvatski Nezavisnici Izvoznici Softvera,G&A,$154,Croatian independent software exporters industry association membership.,Terminate,Trivial $154/yr industry association membership; low strategic value at this spend level.
Monile J.D.O.O.,Marketing,$152,Croatian marketing or promotional services agency.,Consolidate,One of multiple small Croatian marketing agencies; consolidate into a single regional marketing vendor.
Puzzle Promotion J.D.O.O.,Marketing,$143,Croatian promotional marketing and event services agency.,Consolidate,Overlaps with other small Croatian marketing/promo agencies; consolidate to reduce vendor count.
ZagrebaäKi Holding D.O.O.,Facilities,$143,Zagreb city-owned utility and infrastructure holding company,Terminate,Minimal $143 annual spend with city utility holding company; assess if obligation still active and close if not.
Event Ors,Marketing,$143,Event planning and corporate event management services provider.,Terminate,Trivial $143/yr event planning spend; handle ad-hoc or consolidate into primary event vendor.
Sportkart D.O.O.,G&A,$141,Croatian go-kart venue providing team-building and entertainment activities.,Terminate,Negligible $141/yr team-building entertainment; book ad-hoc without a standing vendor relationship.
"Interaction Design Foundation, Inc",Product,$138,Online UX and interaction design education and certification platform.,Terminate,Trivial $138/yr on UX training; consolidate into company-wide L&D platform or reimburse ad-hoc.
